z_medio,densidad,densidad_log10
-19.561937528287586,1.0,0.0
-19.36193752828759,0.0,-inf
-19.161937528287588,0.0,-inf
-18.961937528287592,0.0,-inf
-18.76193752828759,0.0,-inf
-18.561937528287594,0.0,-inf
-18.36193752828759,0.0,-inf
-18.161937528287595,0.0,-inf
-17.961937528287592,0.0,-inf
-17.761937528287596,0.0,-inf
-17.561937528287594,0.0,-inf
-17.361937528287598,0.0,-inf
-17.161937528287595,0.0,-inf
-16.9619375282876,0.0,-inf
-16.761937528287596,0.0,-inf
-16.5619375282876,0.0,-inf
-16.361937528287598,0.0,-inf
-16.161937528287602,0.0,-inf
-15.961937528287601,0.0,-inf
-15.761937528287602,0.0,-inf
-15.561937528287602,0.0,-inf
-15.361937528287603,0.0,-inf
-15.161937528287604,0.0,-inf
-14.961937528287605,0.0,-inf
-14.761937528287605,1.0,0.0
-14.561937528287606,0.0,-inf
-14.361937528287607,0.0,-inf
-14.161937528287607,0.0,-inf
-13.961937528287608,0.0,-inf
-13.761937528287609,0.0,-inf
-13.56193752828761,1.0,0.0
-13.36193752828761,0.0,-inf
-13.161937528287611,1.0,0.0
-12.961937528287612,1.0,0.0
-12.761937528287612,1.0,0.0
-12.561937528287613,0.0,-inf
-12.361937528287614,0.0,-inf
-12.161937528287615,1.0,0.0
-11.961937528287615,0.0,-inf
-11.761937528287616,0.0,-inf
-11.561937528287617,0.0,-inf
-11.361937528287617,0.0,-inf
-11.161937528287618,0.0,-inf
-10.961937528287619,0.0,-inf
-10.76193752828762,1.0,0.0
-10.56193752828762,0.0,-inf
-10.361937528287621,0.0,-inf
-10.161937528287622,1.0,0.0
-9.961937528287622,0.0,-inf
-9.761937528287623,0.0,-inf
-9.561937528287624,1.0,0.0
-9.361937528287624,0.0,-inf
-9.161937528287625,0.0,-inf
-8.961937528287626,0.0,-inf
-8.761937528287627,0.0,-inf
-8.561937528287627,1.0,0.0
-8.361937528287628,0.0,-inf
-8.161937528287629,1.0,0.0
-7.9619375282876295,1.0,0.0
-7.76193752828763,0.0,-inf
-7.561937528287631,1.0,0.0
-7.361937528287632,1.0,0.0
-7.161937528287632,2.0,0.3010299956639812
-6.961937528287633,0.0,-inf
-6.761937528287634,2.0,0.3010299956639812
-6.561937528287634,0.0,-inf
-6.361937528287635,1.0,0.0
-6.161937528287636,0.0,-inf
-5.961937528287637,1.0,0.0
-5.761937528287637,1.0,0.0
-5.561937528287638,4.0,0.6020599913279624
-5.361937528287639,3.0,0.47712125471966244
-5.161937528287639,1.0,0.0
-4.96193752828764,0.0,-inf
-4.761937528287641,3.0,0.47712125471966244
-4.5619375282876415,8.0,0.9030899869919435
-4.361937528287642,7.0,0.8450980400142568
-4.161937528287643,8.0,0.9030899869919435
-3.9619375282876437,18.0,1.255272505103306
-3.7619375282876444,26.0,1.414973347970818
-3.561937528287645,34.0,1.5314789170422551
-3.361937528287646,43.0,1.6334684555795864
-3.1619375282876465,98.0,1.9912260756924949
-2.9619375282876472,138.0,2.1398790864012365
-2.761937528287648,256.0,2.4082399653118496
-2.5619375282876486,465.0,2.667452952889954
-2.3619375282876494,889.0,2.9489017609702137
-2.16193752828765,1442.0,3.15896526038341
-1.9619375282876508,2586.0,3.4126285205443754
-1.7619375282876515,4634.0,3.6659560294539566
-1.5619375282876522,8576.0,3.933284772348695
-1.361937528287653,14727.0,4.168114286819532
-1.1619375282876536,25552.0,4.407424898794408
-0.9619375282876543,43308.0,4.636568128107132
-0.761937528287655,72113.0,4.858013563184617
-0.5619375282876558,110235.0,5.042319506435328
-0.36193752828765646,156549.0,5.194650297785773
-0.16193752828765717,194352.0,5.288589014144001
0.038062471712342116,203805.0,5.309214834458301
0.2380624717123414,181554.0,5.259005821735778
0.4380624717123407,138580.0,5.141700556997391
0.63806247171234,93728.0,4.971869350001505
0.8380624717123393,58761.0,4.769089178043788
1.0380624717123386,34963.0,4.543608690196552
1.2380624717123379,20169.0,4.304684365974386
1.4380624717123371,11631.0,4.0656170557268725
1.6380624717123364,6550.0,3.816241299991783
1.8380624717123357,3655.0,3.562887381293879
2.038062471712335,2098.0,3.3218054838575393
2.2380624717123343,1201.0,3.079543007402906
2.4380624717123336,681.0,2.833147111912785
2.638062471712333,368.0,2.5658478186735176
2.838062471712332,227.0,2.3560258571931225
3.0380624717123315,117.0,2.0681858617461617
3.2380624717123307,69.0,1.8388490907372552
3.43806247171233,44.0,1.6434526764861874
3.6380624717123293,29.0,1.462397997898956
3.8380624717123286,12.0,1.0791812460476249
4.038062471712328,15.0,1.1760912590556813
4.238062471712327,10.0,1.0
4.4380624717123265,8.0,0.9030899869919435
4.638062471712326,7.0,0.8450980400142568
4.838062471712325,6.0,0.7781512503836436
5.038062471712324,3.0,0.47712125471966244
5.238062471712324,2.0,0.3010299956639812
5.438062471712323,3.0,0.47712125471966244
5.638062471712322,2.0,0.3010299956639812
5.8380624717123215,2.0,0.3010299956639812
6.038062471712321,3.0,0.47712125471966244
6.23806247171232,1.0,0.0
6.438062471712319,1.0,0.0
6.638062471712319,1.0,0.0
6.838062471712318,0.0,-inf
7.038062471712317,1.0,0.0
7.2380624717123165,3.0,0.47712125471966244
7.438062471712316,0.0,-inf
7.638062471712315,0.0,-inf
7.838062471712314,0.0,-inf
8.038062471712314,0.0,-inf
8.238062471712313,1.0,0.0
8.438062471712312,0.0,-inf
8.638062471712312,0.0,-inf
8.83806247171231,0.0,-inf
9.03806247171231,0.0,-inf
9.23806247171231,1.0,0.0
9.438062471712309,1.0,0.0
9.638062471712308,0.0,-inf
9.838062471712307,1.0,0.0
10.038062471712307,1.0,0.0
10.238062471712306,0.0,-inf
10.438062471712305,1.0,0.0
10.638062471712304,0.0,-inf
10.838062471712304,0.0,-inf
11.038062471712303,0.0,-inf
11.238062471712302,0.0,-inf
11.438062471712302,0.0,-inf
11.638062471712301,0.0,-inf
11.8380624717123,0.0,-inf
12.0380624717123,0.0,-inf
12.238062471712299,0.0,-inf
12.4380624717123,0.0,-inf
12.6380624717123,0.0,-inf
12.838062471712295,0.0,-inf
13.038062471712294,0.0,-inf
13.238062471712297,0.0,-inf
13.438062471712296,0.0,-inf
13.638062471712292,0.0,-inf
13.838062471712291,0.0,-inf
14.038062471712294,0.0,-inf
14.238062471712293,0.0,-inf
14.43806247171229,0.0,-inf
14.638062471712288,0.0,-inf
14.838062471712291,0.0,-inf
15.03806247171229,0.0,-inf
15.238062471712286,0.0,-inf
15.438062471712286,0.0,-inf
15.638062471712288,0.0,-inf
15.838062471712288,0.0,-inf
16.038062471712283,1.0,0.0
16.238062471712283,0.0,-inf
16.438062471712286,0.0,-inf
16.638062471712285,0.0,-inf
16.83806247171228,2.0,0.3010299956639812
