arandela,v_circ,radio_medio
0,206.62406810047327,0.1
1,207.88653067424383,0.30000000000000004
2,206.80443834965604,0.5
3,208.0416802816179,0.7000000000000001
4,207.5035603421146,0.9
5,208.232440998576,1.1
6,209.6286884513219,1.3000000000000003
7,210.34000865517126,1.5
8,212.1944555314946,1.7000000000000002
9,213.61298637455195,1.9
10,216.56829713208012,2.1
11,218.3893486582081,2.3000000000000003
12,221.7622143843978,2.5
13,224.40748478497952,2.7
14,226.9762573081507,2.9000000000000004
15,229.08730231975952,3.1
16,230.76962404947142,3.3000000000000003
17,233.13275602156085,3.5
18,234.6070416354905,3.7
19,236.7788204543162,3.9000000000000004
20,238.0416937310134,4.1
21,240.40311337638025,4.300000000000001
22,242.2558313808055,4.5
23,243.69861388118647,4.700000000000001
24,245.8815672542315,4.9
25,247.30135021868244,5.1
26,248.36442717010007,5.300000000000001
27,249.15352049507118,5.5
28,250.60720886474078,5.700000000000001
29,250.9180836161723,5.9
30,251.50745374484703,6.1
31,252.55835902217223,6.300000000000001
32,253.4232226790773,6.5
33,254.3938546496912,6.700000000000001
34,254.75341486606467,6.9
35,255.0138638110022,7.1
36,255.2511724178564,7.300000000000001
37,255.7125997089069,7.5
38,256.3176646335768,7.700000000000001
39,256.8673224917757,7.9
40,257.29239971180596,8.100000000000001
41,257.54429908266144,8.3
42,257.6045823421361,8.5
43,258.02171968472703,8.7
44,257.62087264808326,8.9
45,258.0562945106131,9.100000000000001
46,257.56591366001766,9.3
47,257.36192657264877,9.5
48,257.5927490274587,9.700000000000001
49,256.66544634181935,9.9
50,256.3624079673311,10.100000000000001
51,256.11438064330525,10.3
52,256.06701791124243,10.5
53,255.7143127632339,10.700000000000001
54,255.42192740861384,10.9
55,255.1224751981538,11.100000000000001
56,254.9003087148039,11.3
57,254.4259464891178,11.5
58,254.1388729385312,11.700000000000001
59,253.3626807892612,11.9
60,252.89597176109393,12.100000000000001
61,252.32396016850115,12.3
62,252.3823144643974,12.5
63,251.98897411770594,12.700000000000001
64,251.5715508948553,12.9
65,251.58300619130486,13.100000000000001
66,250.98573536420596,13.3
67,250.5593324572905,13.5
68,249.92256084456008,13.700000000000001
69,249.71768657954033,13.9
70,249.58544492884906,14.100000000000001
71,249.34115173507826,14.3
72,248.90581741156342,14.5
73,248.55584101398048,14.700000000000001
74,248.18603316631356,14.9
75,247.92989016497432,15.100000000000001
76,247.32025255182282,15.3
77,246.66215840195773,15.5
78,246.23836643199897,15.700000000000001
79,245.35749077949254,15.9
80,245.2597115599656,16.1
81,244.5551105965945,16.3
82,244.52383755240396,16.5
83,244.17752367584316,16.700000000000003
84,243.38198234450488,16.9
85,243.10793946037754,17.1
86,242.55203306918423,17.3
87,242.44959215743654,17.5
88,242.2834738552457,17.700000000000003
89,241.66599709137768,17.9
90,241.3735705985859,18.1
91,241.16027705608488,18.3
92,240.16715516740965,18.5
93,239.80032516409645,18.700000000000003
94,239.49894244168718,18.9
95,238.89261358379684,19.1
96,238.31842553382114,19.300000000000004
97,237.69677232718277,19.5
98,237.72553121176225,19.700000000000003
99,236.42612915027215,19.9
100,236.40229180899837,20.1
101,236.45414287471826,20.300000000000004
102,236.18016698899368,20.5
103,235.82036392256808,20.700000000000003
104,235.45951162831636,20.9
105,234.32805451343654,21.1
106,234.136908396095,21.300000000000004
107,233.58134839692912,21.5
108,233.08863551184305,21.700000000000003
109,232.84531532073112,21.9
110,233.35514239374342,22.1
111,233.07279341365393,22.300000000000004
112,232.69517407270658,22.5
113,232.18595329758773,22.700000000000003
114,231.10562412772964,22.9
115,230.06616189046758,23.1
116,229.2351617485088,23.300000000000004
117,227.46108476246735,23.5
118,226.99405741879238,23.700000000000003
119,227.16276264801493,23.9
120,228.51882228855433,24.1
121,228.6317015547079,24.300000000000004
122,228.4378823633884,24.5
123,229.02700182323392,24.700000000000003
124,228.47024162009632,24.9
125,227.66497342875243,25.1
126,226.4241992033757,25.300000000000004
127,225.0244656393341,25.5
128,223.46997156408855,25.700000000000003
129,223.2957309982413,25.9
130,221.10845493481057,26.1
131,223.494389102974,26.300000000000004
132,223.1511057407729,26.5
133,225.23405764038327,26.700000000000003
134,225.96267552168408,26.9
135,224.6293163624636,27.1
136,224.6396300464462,27.300000000000004
137,223.64796662972986,27.5
138,222.96420833142318,27.700000000000003
139,221.58992471445535,27.9
140,220.4489037100666,28.1
141,219.1369845028992,28.300000000000004
142,219.5192564513052,28.5
143,218.31426999753143,28.700000000000003
144,218.39040260075464,28.9
145,220.0954563875588,29.1
146,219.41891508541434,29.300000000000004
147,219.43995629545145,29.5
148,218.89430541748357,29.700000000000003
149,219.49358811946874,29.9
